ID,Дата,Лига,Матч,Итог,Стратегия,Результат,Балл
1511546,2026-04-19,Primera B,Deportes Santa Cruz — Union San Felipe,1:3,Страта 1,❌ Мимо,-1
1540490,2026-04-19,Liga Premier Serie A,FC Santiago — Zacatepec 1948,2:3,Страта 1,❌ Мимо,-1
1489173,2026-04-19,Primera División,Puntarenas FC — Sporting San Jose,1:2,Страта 1,❌ Мимо,-1
1518994,2026-04-19,Schweizer Cup,Yverdon Sport — FC ST. Gallen,0:2,Страта 1,❌ Мимо,-1
1523360,2026-04-19,1st Division,Apolonia Fier — Besa Kavajë,1:2,Страта 1,❌ Мимо,-1
1523361,2026-04-19,1st Division,FK Kukesi — Korabi Peshkopi,1:1,Страта 1,✅ Ничья,3
1523363,2026-04-19,1st Division,Lushnja — Iliria Fushë-Krujë,0:3,Страта 1,❌ Мимо,-1
1525832,2026-04-19,Premier League,Bate Borisov — ML Vitebsk,1:2,Страта 1,❌ Мимо,-1
1513049,2026-04-20,MLS Next Pro,Colorado Rapids II—Minnesota United II,1:2,Страта 1,❌ Мимо,-1
1513049,2026-04-20,MLS Next Pro,Colorado Rapids II—Minnesota United II,1:2,Страта 2,✅ ОЗ,3
1513050,2026-04-20,MLS Next Pro,Sporting KC II—Vancouver Whitecaps II,3:2,Страта 1,✅ Успех,3
1513050,2026-04-20,MLS Next Pro,Sporting KC II—Vancouver Whitecaps II,3:2,Страта 2,✅ ОЗ,3
1512572,2026-04-20,Primera División,Cienciano—UCV Moquegua,2:1,Страта 1,✅ Успех,3
1512572,2026-04-20,Primera División,Cienciano—UCV Moquegua,2:1,Страта 2,✅ ОЗ,3
1505424,2026-04-20,Primera División,Huachipato—A. Italiano,3:2,Страта 1,✅ Успех,3
1505424,2026-04-20,Primera División,Huachipato—A. Italiano,3:2,Страта 2,✅ ОЗ,3
1499240,2026-04-20,Liga Nacional,Antigua GFC—Malacateco,2:1,Страта 1,✅ Успех,3
1499240,2026-04-20,Liga Nacional,Antigua GFC—Malacateco,2:1,Страта 2,✅ ОЗ,3
1540391,2026-04-20,Primera Division,H&H Export—Real Estelí,2:3,Страта 1,❌ Мимо,-1
1540391,2026-04-20,Primera Division,H&H Export—Real Estelí,2:3,Страта 2,✅ ОЗ,3
1506092,2026-04-20,Primera A,America de Cali—Millonarios,3:1,Страта 1,✅ Успех,3
1506092,2026-04-20,Primera A,America de Cali—Millonarios,3:1,Страта 2,✅ ОЗ,3
1513051,2026-04-20,MLS Next Pro,Los Angeles FC II—The Town,2:1,Страта 1,✅ Успех,3
1513051,2026-04-20,MLS Next Pro,Los Angeles FC II—The Town,2:1,Страта 2,✅ ОЗ,3
1541141,2026-04-20,FA Cup,Xiamen Chengyi—Shenzhen 2028,0:1,Страта 1,❌ Мимо,-1
1403812,2026-04-20,Liga 1,Semen Padang—Persijap,0:2,Страта 1,❌ Мимо,-1
1396801,2026-04-20,Premier League,Oleksandria—Veres Rivne,0:3,Страта 1,❌ Мимо,-1
1533835,2026-04-20,Premier League,Bahardar—Sheger Ketema,0:2,Страта 1,❌ Мимо,-1
